,emblem,team_name
0,리버풀 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/9.png&type=f25_25&refresh=1
1,맨체스터 유나이티드 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/12.png&type=f25_25&refresh=1
2,레스터 시티 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/29.png&type=f25_25&refresh=1
3,에버턴 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/8.png&type=f25_25&refresh=1
4,아스톤 빌라 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/2.png&type=f25_25&refresh=1
5,첼시 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/4.png&type=f25_25&refresh=1
6,토트넘 홋스퍼 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/19.png&type=f25_25&refresh=1
7,맨체스터 시티 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/11.png&type=f25_25&refresh=1
8,사우샘프턴 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/18.png&type=f25_25&refresh=1
9,웨스트햄 유나이티드 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/43.png&type=f25_25&refresh=1
10,리즈 유나이티드 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/28.png&type=f25_25&refresh=1
11,울버햄튼 원더러스 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/44.png&type=f25_25&refresh=1
12,아스널 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/1006.png&type=f25_25&refresh=1
13,크리스탈 팰리스 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/5.png&type=f25_25&refresh=1
14,뉴캐슬 유나이티드 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/31.png&type=f25_25&refresh=1
15,번리 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/70.png&type=f25_25&refresh=1
16,브라이튼 앤 호브 알비온 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/6795.png&type=f25_25&refresh=1
17,풀럼 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/55.png&type=f25_25&refresh=1
18,웨스트 브로미치 앨비언 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/42.png&type=f25_25&refresh=1
19,셰필드 유나이티드 FC,https://dthumb-phinf.pstatic.net/?src=https://sports-phinf.pstatic.net/team/wfootball/default/37.png&type=f25_25&refresh=1
