,category,movie,producer
0,Best Picture,Parasite,"Kwak Sin Ae and Bong Joon Ho, Producers"
1,Actor in a Leading Role,Joaquin Phoenix,Joker
2,Actress in a Leading Role,Renée Zellweger,Judy
3,Actor in a Supporting…,Brad Pitt,Once upon a Time... in Hollywood
4,Actress in a Supporting…,Laura Dern,Marriage Story
5,Animated Feature Film,Toy Story 4,"Josh Cooley, Mark Nielsen and Jonas Rivera"
6,Cinematography,1917,Roger Deakins
7,Costume Design,Little Women,Jacqueline Durran
8,Directing,Parasite,Bong Joon Ho
9,Documentary (Feature),American Factory,"Steven Bognar, Julia Reichert and…"
10,Documentary (Short…,Learning to Skateboard in a Warzone (If…,Carol Dysinger and Elena…
11,Film Editing,Ford v Ferrari,Michael McCusker and Andrew…
12,International Feature…,Parasite,South Korea
13,Makeup and Hairstyling,Bombshell,"Kazu Hiro, Anne Morgan and Vivian…"
14,Music (Original Score),Joker,Hildur Guðnadóttir
15,Music (Original Song),“(I’m Gonna) Love Me Again” from Rocketman,"Music by Elton John, Lyric by…"
16,Production Design,Once upon a Time...in Hollywood,"Production Design: Barbara Ling,…"
17,Short Film (Animated),Hair Love,Matthew A. Cherry and Karen Rupert…
18,Short Film (Live Action),The Neighbors' Window,Marshall Curry
19,Sound Editing,Ford v Ferrari,Donald Sylvester
20,Sound Mixing,1917,Mark Taylor and Stuart Wilson
21,Visual Effects,1917,"Guillaume Rocheron, Greg Butler…"
22,Writing (Adapted…,Jojo Rabbit,Screenplay by Taika Waititi
23,Writing (Original…,Parasite,"Screenplay by Bong Joon Ho, Han…"
